Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,TTBK1_dock,TTBK1_dock (raw),MAOB_dock,MAOB_dock (raw),SA_score,SA_score (raw),step
7.3624,12.3118,63.0645,0.5888772,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1C(F)(F)F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,N*|C(F)(*)(F)F,0.2751747,7.3270,0.9776044,10.6240,0.9785444,2.6728,1
8.9994,23.7320,79.9970,0.8103825,O=c1c(O)c(-c2ccc(NCc3c(F)cccc3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,C(N*)c1c(F)cccc1F|FC(*)(F)F,0.6025026,8.2890,0.9955146,11.7540,0.9714874,2.7741,1
10.8901,21.3277,84.4713,0.8265547,O=c1c(O)c(-c2ccc(Nc3c(F)cccc3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,Fc1c(N*)c(F)ccc1|FC(*)(F)F,0.6374084,8.3920,0.9878813,11.0580,0.9729998,2.7546,1
7.8309,16.5094,67.1678,0.6537281,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1-c1ccccc1F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,N*|c1ccc(F)c(*)c1,0.3500500,7.5700,0.9944479,11.6050,0.9852843,2.5394,1
4.4542,7.0305,71.5938,0.6142521,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1N,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,N*|N*,0.3390009,7.5360,0.8808361,9.3900,0.9807119,2.6350,1
6.8526,16.5004,75.5574,0.7192015,O=c1c(O)c(-c2ccc(NCc3ccccc3)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,*NCc1ccccc1|FC(F)(F)*,0.4441090,7.8440,0.9953444,11.7280,0.9847523,2.5519,1
5.9024,10.8241,76.7094,0.6838555,Nc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1C(F)(F)F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,FC(*)(F)F|N*,0.4040637,7.7300,0.9696021,10.4060,0.9743950,2.7357,1
7.4656,19.5824,77.3921,0.7576132,Nc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1Nc1ccc(F)cc1F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,c1(F)cc(F)ccc1N*|N*,0.5133086,8.0370,0.9827489,10.8090,0.9808339,2.6328,1
9.9294,30.9404,-30.9404,0.0000000,c1(F)c(F)c(F)c(F)c(F)c1F)*|N*,0,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,c1(F)c(F)c(F)c(F)c(F)c1F)*|N*,0.0000000,0.0000,0.0000000,0.0000,0.0000000,0.0000,1
9.7786,21.7458,53.5053,0.5878991,O=c1c(O)c(-c2ccc(C(F)(F)F)c(-c3c(F)cccc3F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,FC(*)(F)F|c1ccc(F)c(*)c1F,0.6872290,8.5470,0.3909674,7.6920,0.9728146,2.7570,1
6.4894,25.1352,75.3960,0.7854004,Nc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1Nc1cccc(F)c1F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,c1(F)c(F)cccc1N*|*N,0.5583766,8.1630,0.9901131,11.2010,0.9777582,2.6856,1
11.8614,25.5615,6.7798,0.2526663,O=c1c(O)c(-c2ccc(Nc3ccccc3)c(-c3ccc(F)cc3F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,c1ccccc1N*|c1c(F)cc(F)c(*)c1,0.7256855,8.6760,0.0446221,5.8710,0.9820626,2.6093,1
5.5332,21.2008,83.2301,0.8158664,O=c1c(O)c(-c2ccc(Nc3ccc(F)c(F)c3)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,c1c(F)c(F)ccc1N*|FC(F)(F)*,0.6148422,8.3250,0.9894736,11.1570,0.9766963,2.7021,1
15.4014,32.0742,-32.0614,0.0000994,O=C(Cc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1C(F)(F)F)Nc1c(F)cccc1F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,O=C(C*)Nc1c(F)cccc1F|FC(F)(F)*,0.0000100,0.0000,0.0000100,0.0000,0.9701384,2.7906,1
7.9025,17.5765,89.1944,0.8341480,O=c1c(O)c(-c2ccc(Nc3ccccc3)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,c1(N*)ccccc1|FC(F)(F)*,0.6642163,8.4740,0.9640779,10.2860,0.9848546,2.5495,1
4.2777,9.1826,-9.1826,0.0000000,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1C(F)(F)F,2,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,N*|FC(F)(F)*,0.0000000,7.3270,0.0000000,10.6240,0.0000000,2.6728,1
7.7474,18.9135,70.7798,0.7007293,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1Nc1ccccc1F,1,c1cc([*])c([*])cc1-c1oc2cc(O)cc(O)c2c(=O)c1O,N*|Fc1ccccc1N*,0.4264237,7.7940,0.9714937,10.4520,0.9844387,2.5591,1
