Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,TTBK1_dock,TTBK1_dock (raw),MAOB_dock,MAOB_dock (raw),SA_score,SA_score (raw),BBB_signed_dist,BBB_signed_dist (raw),step
9.0315,11.1482,54.2157,0.5106556,C=CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(=C)C*|*C,0.1711823,6.9040,0.9857313,10.9430,0.9849184,2.5480,0.7310495,0.8685,1
9.2373,14.3459,54.9489,0.5413656,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1CC(C)C,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(C)(C)C*|*C,0.2169225,7.1080,0.9889987,11.1260,0.9896283,2.4163,0.6132414,0.4004,1
10.3681,13.8630,79.3848,0.7284980,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(c1ccccc1)*|C*,0.5484180,8.1350,0.9933324,11.4770,0.9931332,2.2718,0.5027671,0.0096,1
8.3847,15.6325,65.0724,0.6305071,C=CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1-c1ccccc1,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(=C)C*|c1cc(*)ccc1,0.4348920,7.8180,0.9546981,10.1180,0.9868702,2.4992,0.3639954,-0.4847,1
3.7671,1.6949,74.3532,0.5941255,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,*C|*C,0.2528152,7.2470,0.9781646,10.6420,0.9937705,2.2377,0.8148294,1.2870,1
4.3036,7.3647,86.6553,0.7345312,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1-c1ccccc1,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,*C|c1c(*)cccc1,0.5725201,8.2030,0.9924282,11.3880,0.9942845,2.2076,0.4809299,-0.0663,1
9.4838,19.9384,55.4695,0.5891244,C=CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C=C,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C=C*|*CC=C,0.2803712,7.3450,0.9594248,10.1980,0.9686196,2.8084,0.6493669,0.5353,1
8.7195,20.3888,53.2159,0.5750369,CCCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)F,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,*CCC|C(F)(F)*,0.2829919,7.3540,0.9835358,10.8420,0.9780679,2.6806,0.5053817,0.0187,1
4.7916,13.8815,70.7341,0.6610588,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,FC(F)*|FC(F)*,0.4232587,7.7850,0.9802714,10.7140,0.9677678,2.8180,0.5096525,0.0335,1
8.7689,15.1565,60.4528,0.5906975,CC(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)C,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,*C(C)C|C(C)(*)C,0.3467828,7.5600,0.9502723,10.0500,0.9861410,2.5182,0.4043107,-0.3366,1
10.3077,13.8580,30.1166,0.3435512,O=c1c(O)c(-c2ccc(-c3ccccc3)c(Cc3ccccc3)c2)oc2cccc(O)c12,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,c1(*)ccccc1|*Cc1ccccc1,0.5441377,8.1230,0.1835673,6.9630,0.9925581,2.2999,0.1755273,-1.3437,1
17.5516,19.8177,12.9862,0.2562807,CCCNc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1CCC,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(C)CN*|C(C)C*,0.1476890,6.7820,0.9683917,10.3780,0.9864833,2.5094,0.0108331,-3.9210,1
11.4625,20.0831,69.8085,0.7022781,O=c1c(O)c(-c2ccc(-c3cccc(F)c3)c(C(F)F)c2)oc2cccc(O)c12,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,c1(*)cc(F)ccc1|C(F)(F)*,0.6370757,8.3910,0.9980651,12.3400,0.9828027,2.5944,0.2774030,-0.8316,1
12.0245,16.2857,38.7897,0.4302768,O=c1c(O)c(-c2ccc(C=Cc3ccccc3)c(-c3ccccc3)c2)oc2cccc(O)c12,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,c1c(C=C*)cccc1|c1c(*)cccc1,0.6397334,8.3990,0.3807371,7.6620,0.9889306,2.4392,0.0987106,-1.9210,1
6.7809,17.8350,-17.8350,0.0000000,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,2,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(F)(F)*|*C(F)F,0.0000000,7.7850,0.0000000,10.7140,0.0000000,2.8180,0.0000000,0.0335,1
8.2445,11.6845,-11.6845,0.0000000,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1CC(C)C,2,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,*CC(C)C|*C,0.0000000,7.1080,0.0000000,11.1260,0.0000000,2.4163,0.0000000,0.4004,1
5.9961,12.1289,63.1269,0.5879356,CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1CC,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(*)C|*CC,0.2599483,7.2730,0.9807390,10.7310,0.9895465,2.4191,0.7107795,0.7810,1
11.4620,17.5478,60.9627,0.6133632,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N1CCCCC1,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C1N(*)CCCC1|C(*)C,0.3425571,7.5470,0.9737533,10.5110,0.9883261,2.4579,0.5040342,0.0140,1
7.2807,19.2286,43.1750,0.4875282,C=CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1CCC,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(C=C)*|*CCC,0.1717958,6.9070,0.9625005,10.2550,0.9810281,2.6291,0.5649616,0.2270,1
6.6828,11.1629,-11.1629,0.0000000,C=CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,2,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(C=C)*|C*,0.0000000,6.9040,0.0000000,10.9430,0.0000000,2.5480,0.0000000,0.8685,1
5.5508,8.3193,60.6977,0.5391954,O=c1c(O)c(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)oc2cccc(O)c12,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,c1(*)ccccc1|c1c(*)cccc1,0.6564698,8.4500,0.5686415,8.1920,0.9939491,2.2276,0.1632373,-1.4196,1
7.8166,12.4827,51.9532,0.5034052,CCCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,C(C*)C|*C,0.1693525,6.8950,0.9854451,10.9290,0.9910874,2.3631,0.6776670,0.6454,1
8.1425,10.2979,-10.2979,0.0000000,O=c1c(O)c(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)oc2cccc(O)c12,2,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,c1ccc(*)cc1|c1cc(*)ccc1,0.0000000,8.4500,0.0000000,8.1920,0.0000000,2.2276,0.0000000,-1.4196,1
5.8257,14.9493,66.6461,0.6374640,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,1,Oc1c(=O)c2c(O)cccc2oc1-c1ccc([*])c([*])c1,FC(F)*|*CC,0.3493953,7.5680,0.9825773,10.8020,0.9790705,2.6640,0.6151219,0.4073,1
