id,smiles,source,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups,canon,Score,TTBK1_dock (raw),MAOB_dock (raw),SA_score (raw),BBB_signed_dist (raw)
cand_001,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,reinvent4_v2,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,c1c(C*)cccc1|C*,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,0.7495772,8.316,10.326,2.2646,0.0096
cand_002,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,reinvent4_v2,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,C(c1ccccc1)*|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,0.7308297,8.148,11.557,2.2718,0.0096
cand_003,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,reinvent4_v2,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7246167,7.95,11.409,2.4977,0.5794
cand_004,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,reinvent4_v2,350.29,4.452,70.67,2,4,2,0.167,3,3,0,True,True,True,0,,True,,,C(F)(F)(*)F|*CC,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7175007,7.989,10.827,2.5421,0.3264
cand_005,C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,reinvent4_v2,348.28,4.533,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)(F)F|C(=C)*,C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7068611,7.954,10.997,2.7146,0.2461
cand_006,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,reinvent4_v2,351.4,4.17,73.91,2,5,2,0.286,4,3,0,True,True,True,0,,True,,O=c1cc(-c2cccc(N3CCCCC3)c2)oc2ccccc12,C1N(*)CCCC1|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,0.7030047,7.928,10.708,2.3732,0.2658
cand_007,O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,reinvent4_v2,354.26,4.36,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,*CF|FC(F)(*)F,O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,0.692266,7.83,11.095,2.7075,0.4189
cand_008,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,reinvent4_v2,354.26,4.746,70.67,2,4,3,0.118,3,3,0,True,True,True,0,,True,,,*C(F)F|C(*)(F)F,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,0.6660987,7.802,11.054,2.818,0.0335
cand_009,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)C,reinvent4_v2,310.35,4.303,70.67,2,4,2,0.211,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C|CC(*)C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)C,0.6507313,7.63,10.351,2.3899,0.4752
cand_010,O=c1c(O)c(-c2ccc(CF)c(C(F)(F)F)c2)oc2cccc(O)c12,reinvent4_v2,354.26,4.36,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|FC*,O=c1c(O)c(-c2ccc(CF)c(C(F)(F)F)c2)oc2cccc(O)c12,0.6485398,7.629,10.531,2.6987,0.4189
cand_011,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,reinvent4_v2,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,C(F)(*)(F)F|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.6473059,7.574,10.952,2.4564,0.5794
cand_012,CN(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,reinvent4_v2,365.31,3.956,73.91,2,5,2,0.167,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|N(C)(C)*,CN(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.6468657,7.61,10.458,2.6248,0.4778
