receptor,ligand,best_overall,consensus,seed_sd,n_seeds
2V5Z,cand_001,-10.33,-10.32,0.009999999999999787,3
2V5Z,cand_002,-10.51,-10.416666666666666,0.1446835627614045,3
2V5Z,cand_003,-11.43,-11.413333333333334,0.020816659994660813,3
2V5Z,cand_004,-11.14,-11.133333333333335,0.005773502691896776,3
2V5Z,cand_005,-11.19,-11.163333333333334,0.023094010767584668,3
2V5Z,cand_006,-10.63,-10.61,0.020000000000000906,3
2V5Z,cand_007,-11.09,-11.046666666666667,0.058594652770822916,3
2V5Z,cand_008,-11.04,-11.036666666666667,0.0057735026918953655,3
2V5Z,cand_009,-10.45,-10.44,0.009999999999999787,3
2V5Z,cand_010,-10.73,-10.72,0.009999999999999787,3
2V5Z,cand_011,-10.83,-10.806666666666667,0.03214550253664383,3
2V5Z,cand_012,-10.39,-10.373333333333333,0.015275252316520207,3
2V5Z,cand_013,-11.3,-11.29,0.009999999999999787,3
2V5Z,cand_014,-10.89,-10.88,0.010000000000000453,3
2V5Z,cand_015,-11.19,-11.19,0.0,3
2V5Z,cand_016,-11.07,-11.056666666666667,0.011547005383792141,3
2V5Z,cand_017,-10.8,-10.793333333333331,0.00577350269189716,3
2V5Z,cand_018,-10.73,-10.72,0.010000000000000231,3
2V5Z,cand_019,-10.62,-10.613333333333332,0.011547005383792141,3
2V5Z,cand_020,-9.654,-9.629666666666667,0.021221058723196014,3
2V5Z,cand_021,-10.85,-10.839999999999998,0.009999999999999787,3
2V5Z,cand_022,-10.02,-10.007333333333333,0.014189197769194573,3
2V5Z,cand_023,-11.39,-11.353333333333333,0.0351188458428426,3
2V5Z,cand_024,-10.53,-10.526666666666666,0.005773502691896776,3
2V5Z,cand_025,-10.59,-10.583333333333334,0.011547005383792141,3
2V5Z,cand_026,-11.4,-11.396666666666667,0.005773502691895878,3
2V5Z,cand_027,-10.28,-10.28,0.0,3
2V5Z,cand_028,-10.69,-10.686666666666667,0.005773502691895878,3
2V5Z,cand_029,-11.06,-11.049999999999999,0.010000000000000453,3
2V5Z,cand_030,-10.77,-10.75,0.03464101615137681,3
2V5Z,cand_031,-10.79,-10.786666666666667,0.005773502691896135,3
2V5Z,cand_032,-9.64,-9.630666666666666,0.012858201014657516,3
2V5Z,cand_033,-10.36,-10.36,0.0,3
2V5Z,cand_034,-10.35,-10.326666666666666,0.02516611478423506,3
2V5Z,cand_035,-10.51,-10.503333333333332,0.0057735026918953655,3
2V5Z,cand_036,-10.69,-10.683333333333332,0.005773502691896135,3
2V5Z,cand_037,-10.58,-10.576666666666666,0.005773502691896776,3
2V5Z,cand_038,-11.21,-11.206666666666669,0.00577350269189716,3
2V5Z,cand_039,-10.67,-10.666666666666666,0.005773502691896776,3
2V5Z,cand_040,-10.86,-10.839999999999998,0.02645751311064568,3
2V5Z,cand_041,-9.905,-9.892666666666665,0.015695009822658038,3
2V5Z,cand_042,-10.84,-10.833333333333334,0.0057735026918960064,3
2V5Z,cand_043,-11.64,-11.63,0.010000000000000897,3
2V5Z,cand_044,-10.88,-10.87,0.010000000000000453,3
2V5Z,cand_045,-10.4,-10.396666666666667,0.005773502691896776,3
2V5Z,cand_046,-10.56,-10.556666666666667,0.0057735026918960064,3
2V5Z,cand_047,-10.71,-10.703333333333333,0.00577350269189716,3
2V5Z,cand_048,-10.85,-10.843333333333334,0.005773502691895878,3
2V5Z,cand_049,-10.71,-10.700000000000001,0.010000000000000453,3
2V5Z,cand_050,-10.8,-10.796666666666667,0.00577350269189716,3
2V5Z,cand_051,-11.29,-11.270000000000001,0.017320508075688662,3
2V5Z,cand_052,-10.5,-10.48,0.019999999999999574,3
2V5Z,cand_053,-10.83,-10.83,0.0,3
2V5Z,cand_054,-9.898,-9.89,0.009165151389911301,3
2V5Z,cand_055,-10.86,-10.85,0.009999999999999787,3
2V5Z,cand_056,-8.754,-8.715666666666666,0.03329164059239622,3
2V5Z,native_SAG,-10.16,-10.16,,1
4BTK,native_DTQ,-7.696,-7.652,0.038105117766515144,3
7JXX,cand_001,-8.817,-8.793333333333335,0.020502032419575766,3
7JXX,cand_002,-8.817,-8.801333333333334,0.01464012750399855,3
7JXX,cand_003,-8.405,-8.385,0.019999999999999574,3
7JXX,cand_004,-8.263,-8.257,0.008717797887081406,3
7JXX,cand_005,-8.353,-8.347999999999999,0.006244997998398813,3
7JXX,cand_006,-8.12,-8.104666666666667,0.019295940851208098,3
7JXX,cand_007,-8.202,-8.026666666666667,0.2942113752616194,3
7JXX,cand_008,-8.329,-8.288,0.035594943461115656,3
7JXX,cand_009,-7.402,-7.395333333333333,0.007637626158260055,3
7JXX,cand_010,-8.475,-8.410666666666666,0.09707900562600218,3
7JXX,cand_011,-8.589,-8.582333333333333,0.009073771725878295,3
7JXX,cand_012,-8.043,-8.036,0.006244997998397604,3
7JXX,cand_013,-8.831,-8.825666666666667,0.004618802153516497,3
7JXX,cand_014,-8.076,-8.065333333333333,0.009712534856223223,3
7JXX,cand_015,-7.983,-7.979666666666667,0.0049328828623158094,3
7JXX,cand_016,-8.107,-8.102333333333332,0.005033222956847288,3
7JXX,cand_017,-7.744,-7.739333333333334,0.004041451884327255,3
7JXX,cand_018,-7.267,-7.263000000000001,0.003605551275464516,3
7JXX,cand_019,-7.988,-7.935333333333333,0.05404936015655839,3
7JXX,cand_020,-8.12,-8.111333333333333,0.00757187779440041,3
7JXX,cand_021,-8.019,-8.013333333333334,0.005131601439446261,3
7JXX,cand_022,-7.354,-7.342666666666666,0.012662279942148568,3
7JXX,cand_023,-8.051,-8.043999999999999,0.006244997998398386,3
7JXX,cand_024,-7.96,-7.955333333333333,0.004163331998932216,3
7JXX,cand_025,-8.002,-7.990333333333333,0.015307950004273456,3
7JXX,cand_026,-7.554,-7.55,0.0039999999999998925,3
7JXX,cand_027,-7.996,-7.688,0.26675269445687005,3
7JXX,cand_028,-7.51,-7.474333333333334,0.03178574103797697,3
7JXX,cand_029,-7.998,-7.9863333333333335,0.01457166199626353,3
7JXX,cand_030,-8.397,-8.382,0.013076696830622516,3
7JXX,cand_031,-7.771,-7.751,0.01907878402833894,3
7JXX,cand_032,-7.565,-7.295000000000001,0.23451865597431695,3
7JXX,cand_033,-7.589,-7.433,0.22426100864840465,3
7JXX,cand_034,-7.649,-7.635000000000001,0.014525839046334017,3
7JXX,cand_035,-7.768,-7.740666666666667,0.027501515109777927,3
7JXX,cand_036,-7.718,-7.706333333333333,0.011060440015358147,3
7JXX,cand_037,-7.735,-7.694,0.03675595189897836,3
7JXX,cand_038,-7.743,-7.694333333333334,0.06693529213601232,3
7JXX,cand_039,-7.943,-7.922,0.02455605831561736,3
7JXX,cand_040,-8.119,-8.100999999999999,0.03117691453623982,3
7JXX,cand_041,-7.239,-7.229666666666667,0.0081445278152471,3
7JXX,cand_042,-8.092,-8.075666666666669,0.020256686138983893,3
7JXX,cand_043,-7.723,-7.712666666666666,0.013796134724382866,3
7JXX,cand_044,-8.769,-8.295,0.8080365090761678,3
7JXX,cand_045,-7.657,-7.631333333333333,0.025026652459594647,3
7JXX,cand_046,-8.19,-8.186666666666666,0.0049328828623172345,3
7JXX,cand_047,-7.979,-7.958333333333333,0.03156474826976023,3
7JXX,cand_048,-8.174,-8.130666666666666,0.03785938897200165,3
7JXX,cand_049,-7.643,-7.626666666666666,0.02173323108360367,3
7JXX,cand_050,-8.716,-8.709999999999999,0.007211102550927431,3
7JXX,cand_051,-7.67,-7.632000000000001,0.04951767361255991,3
7JXX,cand_052,-8.305,-8.289666666666667,0.022368132093077114,3
7JXX,cand_053,-8.286,-7.876333333333332,0.7086976318101624,3
7JXX,cand_054,-7.085,-6.957666666666667,0.1837643418439321,3
7JXX,cand_055,-8.45,-8.440666666666667,0.008082903768654127,3
7JXX,cand_056,-8.231,-8.229333333333335,0.0020816659994655836,3
7JXX,native_VP7,-8.971,-8.967666666666666,0.003511884584283691,3
