compound_name,species,pubchem_cid,canonical_smiles,molecular_formula,source_reference,parse_ok,scaffold_class,is_glycoside,confidence
Kaempferol 7-O-glucoside,Evolvulus alsinoides,10095180,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,C21H20O11,PMID:17473466,True,flavone;flavonol,True,"HIGH - direct isolation paper, species-specific"
Kaempferol 3-O-glucoside,Evolvulus alsinoides,5282102,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C21H20O11,PMID:17473466,True,flavone;flavonol,True,"HIGH - direct isolation paper, species-specific"
Isoquercitrin,Evolvulus alsinoides,5484006,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,C21H20O12,PMID:17473466,True,flavone;flavonol,True,"HIGH - direct isolation paper, species-specific"
Evolvoside C,Evolvulus alsinoides,71524785,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC=C(C=C3)C4=C(C(=O)C5=C(C=C(C=C5O4)O)O)O)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O,C33H40O20,PMID:23357036,True,flavone;flavonol,True,"HIGH - direct isolation paper, species-specific"
Kaempferol,Evolvulus alsinoides,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,"PMID:17473466,19748554,23357036 (aglycone of isolated glycosides)",True,flavone;flavonol,False,"HIGH - direct isolation paper, species-specific"
Quercetin,Evolvulus alsinoides,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,PMID:17473466 (aglycone of isoquercitrin),True,flavone;flavonol,False,"HIGH - direct isolation paper, species-specific"
Gangetin,Desmodium gangeticum,317611,CC(=CCC1=C(C=CC2=C1OC3C2COC4=C3C(=C5C=CC(OC5=C4)(C)C)OC)O)C,C26H28O5,PMID:38430634 (fertility study); review PMID:36515031,True,pterocarpan/pterocarpene,False,"HIGH - direct isolation paper, species-specific"
Gangetinin,Desmodium gangeticum,44257472,CC1(C=CC2=C(O1)C=CC3=C2OC4C3COC5=C4C(=C6C=CC(OC6=C5)(C)C)OC)C,C26H26O5,ChemInform structure abstract (scholar-gateway; PMID not resolved in PubMed search) - LOWER TRACEABILITY,True,pterocarpan/pterocarpene,False,"MEDIUM - structure from ChemInform abstract, PMID not resolved via PubMed API"
Desmodin,Desmodium gangeticum,13338925,CC1(C=CC2=C(C3=C(C=C2O1)OCC4C3OC5=CC(=C(C=C45)OC)O)OC)C,C22H22O6,"PMID:36515031 (review, genus source not independently verified)",True,pterocarpan/pterocarpene,False,"MEDIUM - reported in review only, not independently cross-checked"
Desmocarpin,Desmodium gangeticum,44257475,COC1=CC(=C2C3C(COC2=C1)C4=C(O3)C=C(C=C4)O)O,C16H14O5,"PMID:36515031 (review, genus source not independently verified)",True,pterocarpan/pterocarpene,False,"MEDIUM - reported in review only, not independently cross-checked"
