GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1516.5503,3970.4731,5214.801,0.0,0.0,0.0,-4262.0293,-35357.4355,1860.4132,18654.7529,-4956.2638,147.09257856,-8402.474299999998,-4809.1712214399995,-13211.64552144
1,1493.9957,4103.3272,5231.044,0.0,0.0,0.0,-4345.0388,-35190.2132,1867.2097,18716.7491,-5096.3229,145.67804568,-8122.926299999999,-4950.64485432,-13073.571154319998
2,1490.9509,4121.9517,5206.9687,0.0,0.0,0.0,-4301.1963,-35226.2572,1868.1104,18752.445,-5156.2253,147.80973168,-8087.0268,-5008.41556832,-13095.44236832
3,1492.7271,4093.2397,5222.6847,0.0,0.0,0.0,-4311.5865,-35080.814,1869.1034,18640.6399,-5213.9055,147.56061744000002,-8074.0057000000015,-5066.34488256,-13140.350582560002
4,1497.7229,4065.0875,5196.957,0.0,0.0,0.0,-4289.8368,-35173.7226,1862.0554,18686.03,-5144.2441,146.17908287999998,-8155.706600000001,-4998.0650171199995,-13153.77161712
5,1425.8634,4153.2765,5179.7592,0.0,0.0,0.0,-4248.4604,-35031.9763,1885.5266,18694.0975,-5325.2524,151.86180240000002,-7941.913500000002,-5173.390597600001,-13115.304097600003
6,1449.725,4081.2881,5186.9883,0.0,0.0,0.0,-4274.129,-35112.4523,1869.4731,18698.9638,-5183.0991,148.65356015999998,-8100.142999999996,-5034.4455398400005,-13134.588539839995
7,1466.921,4168.1542,5211.992,0.0,0.0,0.0,-4252.6078,-35128.1427,1887.6551,18794.8839,-5326.2058,152.58365351999998,-7851.144299999996,-5173.62214648,-13024.766446479996
8,1521.9568,4052.3619,5187.5806,0.0,0.0,0.0,-4241.0652,-35222.306,1873.3862,18852.5363,-5180.5328,148.82145336,-7975.549399999996,-5031.71134664,-13007.260746639997
9,1545.1464,4090.6221,5230.1223,0.0,0.0,0.0,-4280.215,-35370.7801,1903.9807,18775.2061,-5052.5243,149.1469596,-8105.917500000003,-4903.3773404,-13009.294840400004
10,1526.9523,3967.0228,5199.0916,0.0,0.0,0.0,-4275.305,-35090.7107,1877.5416,18747.5517,-5263.376,147.18603816,-8047.855700000004,-5116.18996184,-13164.045661840004
11,1524.4916,4168.6649,5236.5698,0.0,0.0,0.0,-4267.9801,-35325.5356,1876.4366,18737.4456,-5127.1078,146.54515824,-8049.9072000000015,-4980.56264176,-13030.469841760001
12,1528.5791,4083.968,5218.8388,0.0,0.0,0.0,-4282.6454,-35427.6433,1873.4699,18739.5766,-4986.3572,148.37968296,-8265.856300000003,-4837.977517040001,-13103.833817040004
13,1498.6532,4062.1259,5251.3847,0.0,0.0,0.0,-4313.4749,-35332.5732,1882.7153,18662.5875,-4992.7141,144.25515,-8288.5815,-4848.45895,-13137.04045
14,1532.1497,4053.3608,5195.3858,0.0,0.0,0.0,-4291.3563,-35162.6767,1863.1356,18729.1918,-5225.4502,148.81699799999998,-8080.809300000001,-5076.633202,-13157.442502
15,1483.4415,4057.0705,5259.4682,0.0,0.0,0.0,-4285.5952,-35182.1444,1867.6364,18775.0487,-5184.1832,146.71553616,-8025.074299999997,-5037.467663840001,-13062.541963839996
16,1515.9516,4150.4929,5175.1367,0.0,0.0,0.0,-4297.8092,-35082.725,1868.4689,18678.175,-5261.2453,147.78360792,-7992.309099999999,-5113.46169208,-13105.770792079997
17,1507.8295,4081.4602,5189.6801,0.0,0.0,0.0,-4259.9269,-35032.4286,1882.1605,18688.7285,-5295.8227,153.63630288,-7942.4967,-5142.18639712,-13084.68309712
18,1484.8996,4098.3134,5228.4419,0.0,0.0,0.0,-4323.2442,-34949.1528,1850.0072,18673.4432,-5335.3068,151.48853568,-7937.291700000002,-5183.818264320001,-13121.109964320001
19,1540.489,4094.0628,5190.2722,0.0,0.0,0.0,-4284.682,-34973.1675,1843.0507,18731.3371,-5357.081,149.93030088,-7858.637700000003,-5207.15069912,-13065.788399120003
20,1505.7892,4120.8906,5181.2131,0.0,0.0,0.0,-4320.3489,-35041.7095,1858.7284,18694.4753,-5275.4177,149.3488512,-8000.961800000001,-5126.0688488,-13127.0306488
