GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,891.7523,2443.18,3005.0985,0.0,0.0,0.0,-2379.7881,-18689.4437,1091.6234,10599.1468,-5343.8343,105.59277648,-3038.4307999999983,-5238.241523520001,-8276.672323519999
1,936.8363,2425.8674,2946.7808,0.0,0.0,0.0,-2400.4474,-18722.4661,1094.3747,10618.9899,-5369.2493,108.23298768,-3100.0643999999993,-5261.01631232,-8361.08071232
2,879.1404,2415.5069,2920.1038,0.0,0.0,0.0,-2371.2934,-18623.0924,1116.1158,10591.1791,-5455.2356,110.30980607999999,-3072.3398000000034,-5344.92579392,-8417.265593920003
3,906.3594,2391.8759,2926.3022,0.0,0.0,0.0,-2392.727,-18711.5303,1096.7661,10539.0271,-5271.7072,105.47746272,-3243.926599999999,-5166.229737279999,-8410.15633728
4,871.4622,2401.6186,2940.4658,0.0,0.0,0.0,-2360.9224,-18852.6466,1122.6376,10638.9757,-5302.2342,110.12998391999999,-3238.409099999999,-5192.10421608,-8430.51331608
5,932.4958,2484.6064,2977.1946,0.0,0.0,0.0,-2373.4184,-18716.1826,1096.2096,10524.2229,-5317.1114,104.96556647999999,-3074.8716999999997,-5212.1458335199995,-8287.01753352
6,891.4099,2468.72,2967.4397,0.0,0.0,0.0,-2374.7904,-18788.1276,1103.4966,10615.9109,-5286.8731,106.55242559999999,-3115.940899999998,-5180.3206744,-8296.261574399998
7,913.6998,2484.5081,2929.6654,0.0,0.0,0.0,-2432.3281,-18906.2922,1100.924,10735.2182,-5270.6548,101.94096816,-3174.604800000001,-5168.71383184,-8343.318631840002
8,899.1628,2413.4197,2977.2865,0.0,0.0,0.0,-2395.8336,-19001.1301,1099.8754,10758.2779,-5217.8283,106.27797455999999,-3248.941399999998,-5111.55032544,-8360.491725439997
9,913.3807,2473.882,2956.6195,0.0,0.0,0.0,-2377.1469,-18988.3633,1103.5406,10643.7112,-5183.0005,106.08031007999999,-3274.3762000000006,-5076.92018992,-8351.29638992
10,885.941,2391.7753,2939.1931,0.0,0.0,0.0,-2399.0534,-19061.0756,1111.6344,10636.1272,-5097.3244,105.09226776,-3495.4580000000005,-4992.23213224,-8487.69013224
11,912.1785,2415.5967,2980.5687,0.0,0.0,0.0,-2418.3416,-18918.5786,1118.7005,10651.0457,-5214.7901,105.8418684,-3258.830100000001,-5108.9482316,-8367.7783316
12,884.8021,2419.1462,2976.0933,0.0,0.0,0.0,-2370.9344,-19004.9515,1102.4498,10663.5682,-5192.8445,104.8981536,-3329.826299999999,-5087.9463464,-8417.7726464
13,909.9122,2399.7825,2971.9765,0.0,0.0,0.0,-2370.8939,-19046.1906,1083.4075,10644.9432,-5113.121,106.66653912,-3407.062600000001,-5006.45446088,-8413.51706088
14,905.322,2483.6952,2936.9183,0.0,0.0,0.0,-2386.9629,-18981.3616,1076.7361,10603.3042,-5169.3998,106.14132144,-3362.3487000000005,-5063.25847856,-8425.607178560002
15,941.2551,2363.5579,2987.2053,0.0,0.0,0.0,-2385.4539,-19020.6224,1113.4486,10682.4918,-5162.7895,105.59141208,-3318.1176000000014,-5057.19808792,-8375.31568792
16,920.6851,2456.6066,2963.6797,0.0,0.0,0.0,-2384.5815,-19118.529,1089.7837,10646.4072,-4986.0624,106.70943383999999,-3425.948199999999,-4879.35296616,-8305.301166159998
17,900.3018,2434.1028,2933.0012,0.0,0.0,0.0,-2343.6939,-18866.1763,1128.3467,10649.2612,-5255.1741,109.05138432,-3164.856499999998,-5146.1227156800005,-8310.979215679998
18,930.8016,2438.9455,2975.7134,0.0,0.0,0.0,-2360.5507,-18925.5633,1111.3938,10616.1341,-5229.6027,109.2569364,-3213.125600000003,-5120.3457636,-8333.471363600003
19,862.5533,2450.1799,2977.8124,0.0,0.0,0.0,-2385.5953,-18932.5292,1114.446,10643.9538,-5196.7025,104.60294208,-3269.179100000001,-5092.099557920001,-8361.27865792
20,882.0699,2419.6383,2918.0473,0.0,0.0,0.0,-2374.2519,-18910.2407,1087.3842,10615.264,-5183.7679,108.13752792,-3362.088899999999,-5075.63037208,-8437.719272079998
