compound_name,species,pubchem_cid,canonical_smiles,scaffold_class,is_glycoside,aglycone_name,aglycone_pubchem_cid,aglycone_smiles,confidence,source_reference,rdkit_parse_ok
Kaempferol 7-O-glucoside,Evolvulus alsinoides,10095180,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,flavone;flavonol,True,Kaempferol,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"HIGH - direct isolation paper, species-specific",PMID:17473466,True
Kaempferol 3-O-glucoside,Evolvulus alsinoides,5282102,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,flavone;flavonol,True,Kaempferol,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"HIGH - direct isolation paper, species-specific",PMID:17473466,True
Isoquercitrin,Evolvulus alsinoides,5484006,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,flavone;flavonol,True,Quercetin,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,"HIGH - direct isolation paper, species-specific",PMID:17473466,True
Evolvoside C,Evolvulus alsinoides,71524785,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC=C(C=C3)C4=C(C(=O)C5=C(C=C(C=C5O4)O)O)O)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O,flavone;flavonol,True,Kaempferol,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"HIGH - direct isolation paper, species-specific",PMID:23357036,True
Kaempferol,Evolvulus alsinoides,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,flavone;flavonol,False,,,,"HIGH - direct isolation paper, species-specific","PMID:17473466,19748554,23357036 (aglycone of isolated glycosides)",True
Quercetin,Evolvulus alsinoides,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,flavone;flavonol,False,,,,"HIGH - direct isolation paper, species-specific",PMID:17473466 (aglycone of isoquercitrin),True
Gangetin,Desmodium gangeticum,317611,CC(=CCC1=C(C=CC2=C1OC3C2COC4=C3C(=C5C=CC(OC5=C4)(C)C)OC)O)C,pterocarpan/pterocarpene,False,,,,"HIGH - direct isolation paper, species-specific",PMID:38430634 (fertility study); review PMID:36515031,True
Gangetinin,Desmodium gangeticum,44257472,CC1(C=CC2=C(O1)C=CC3=C2OC4C3COC5=C4C(=C6C=CC(OC6=C5)(C)C)OC)C,pterocarpan/pterocarpene,False,,,,"MEDIUM - structure from ChemInform abstract, PMID not resolved via PubMed API",ChemInform structure abstract (scholar-gateway; PMID not resolved in PubMed search) - LOWER TRACEABILITY,True
Desmodin,Desmodium gangeticum,13338925,CC1(C=CC2=C(C3=C(C=C2O1)OCC4C3OC5=CC(=C(C=C45)OC)O)OC)C,pterocarpan/pterocarpene,False,,,,"MEDIUM - reported in review only, not independently cross-checked","PMID:36515031 (review, genus source not independently verified)",True
Desmocarpin,Desmodium gangeticum,44257475,COC1=CC(=C2C3C(COC2=C1)C4=C(O3)C=C(C=C4)O)O,pterocarpan/pterocarpene,False,,,,"MEDIUM - reported in review only, not independently cross-checked","PMID:36515031 (review, genus source not independently verified)",True
Baicalein,Desmodium gangeticum,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,flavone,False,,,,LOW - species attribution ambiguous in source review (genus-level text),PMID:36515031 (review text ambiguous/garbled OCR on species attribution - LOW CONFIDENCE),True
Naringin,Desmodium gangeticum,442428,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,flavanone,True,Naringenin,439246,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,LOW - species attribution ambiguous in source review (genus-level text),PMID:36515031 (review text ambiguous/garbled OCR on species attribution - LOW CONFIDENCE),True
Neohesperidin,Desmodium gangeticum,442439,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O,flavanone,True,Hesperetin,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,LOW - species attribution ambiguous in source review (genus-level text),PMID:36515031 (review text ambiguous/garbled OCR on species attribution - LOW CONFIDENCE),True
Apigenin,Clerodendrum serratum,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,flavone,False,,,,"HIGH - direct isolation paper, species-specific",PMID:28458420 (direct HPLC quantification),True
Luteolin,Clerodendrum serratum,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,flavone,False,,,,"HIGH - direct isolation paper, species-specific",PMID:28458420 (direct HPLC quantification),True
