pmid,doi,first_author,journal,year,title,relevance,verified_in_project_brief
16923168,10.1111/j.1471-4159.2006.04059.x,Sato S,J Neurochem,2006,"Tau-tubulin kinase 1 (TTBK1), a neuron-specific tau kinase candidate, is involved in tau phosphorylation and aggregation.",Early identification of TTBK1 as a tau kinase phosphorylating disease-relevant epitopes,False
19821381,10.1002/14651858.CD006661.pub2,Caslake R,Cochrane Database Syst Rev,2009,Monoamine oxidase B inhibitors versus other dopaminergic agents in early Parkinson's disease.,MAO-B inhibition rationale and clinical use in Parkinson's disease,False
23088643,10.1111/bpa.12001,Lund H,Brain Pathol,2012,"Tau-tubulin kinase 1 expression, phosphorylation and co-localization with phospho-Ser422 tau in the Alzheimer's disease brain.",TTBK1 genetic/expression association with Alzheimer's disease pathology,False
24808823,10.3389/fnmol.2014.00033,Ikezu S,Front Mol Neurosci,2014,Tau-tubulin kinase.,"Review: TTBK1 phosphorylates tau at Ser422, elevated in AD brain, genetically linked to late-onset AD",False
25473830,10.1371/journal.pgen.1004803,Liachko NF,PLoS Genet,2014,The tau tubulin kinases TTBK1/2 promote accumulation of pathological TDP-43.,TDP-43 phosphorylation by TTBK1 implicated in ALS/FTLD-TDP pathogenesis,False
28069007,10.1186/s12906-016-1525-y,Zarmouh NO,BMC Complement Altern Med,2017,"The Benzopyrone Biochanin-A as a reversible, competitive, and selective monoamine oxidase B inhibitor.",Flavonoid class compounds show selective MAO-B inhibition profiles,False
28642233,10.1124/jpet.117.241653,Borroni E,J Pharmacol Exp Ther,2017,"Sembragiline: A Novel, Selective Monoamine Oxidase Type B Inhibitor for the Treatment of Alzheimer's Disease.",MAO-B-mediated H2O2 production and oxidative stress in neurodegeneration,False
29570866,10.1002/mds.27372,Fox SH,Mov Disord,2018,International Parkinson and movement disorder society evidence-based medicine review: Update on treatments for the motor symptoms of Parkinson's disease.,Clinical profile of MAO-B inhibitor drugs used in Parkinson's disease,False
29763806,10.1016/j.ejmech.2018.05.004,Jalili-Baleh L,Eur J Med Chem,2018,A review on flavonoid-based scaffolds as multi-target-directed ligands (MTDLs) for Alzheimer's disease.,Multi-target-directed ligand strategy discussed for flavonoids in neurodegenerative disease,False
30532139,10.1371/journal.pgen.1007844,Bowie E,PLoS Genet,2018,Spinocerebellar ataxia type 11-associated alleles of Ttbk2 dominantly interfere with ciliogenesis and cilium stability.,TTBK2 kinase function in primary cilium assembly (relevant to anti-target biology),False
30556160,10.1002/jcb.28276,Li J,J Cell Biochem,2018,miR-219-5p inhibits tau phosphorylation by targeting TTBK1 and GSK-3&#x3b2; in Alzheimer's disease.,TTBK1 role in tau hyperphosphorylation / kinase biology in tauopathy models,False
31686637,10.2174/1389557519666191104110908,Marino BLB,Mini Rev Med Chem,2020,Parkinson's Disease: A Review from Pathophysiology to Treatment.,MAO-B contribution to dopaminergic neuron loss and PD pathophysiology,False
32583952,10.1002/cmdc.202000305,Maliyakkal N,ChemMedChem,2020,"A New Potent and Selective Monoamine Oxidase-B Inhibitor with Extended Conjugation in a Chalcone Framework: 1-[4-(Morpholin-4-yl)phenyl]-5-phenylpenta-2,4-dien-1-one.",Natural flavonoids screened for MAO-B inhibitory activity,False
32852645,10.1007/164_2020_384,Duarte P,Handb Exp Pharmacol,2021,Monoamine Oxidase Inhibitors: From Classic to New Clinical Approaches.,MAO-B activity generates reactive oxygen species contributing to neuronal damage,False
32891070,10.1002/jgm.3268,Yan Y,J Gene Med,2020,Long non-coding RNA 00507/miRNA-181c-5p/TTBK1/MAPT axis regulates tau hyperphosphorylation in Alzheimer's disease.,TTBK1 kinase domain structural/functional characterization relevant to inhibitor design,False
33212830,10.3390/molecules25225358,Chaurasiya ND,Molecules,2020,Selective Interactions of-Methylated Flavonoid Natural Products with Human Monoamine Oxidase-A and -B.,"Chaurasiya et al. 2020 Molecules 25:5358 (project brief cited as 'Sharma 2020' - author name discrepancy, journal/vol/page/topic match) - O-methylated flavonoids selective for MAO-A vs MAO-B",True
33944571,10.1021/acs.jmedchem.1c00382,Halkina T,J Med Chem,2021,Discovery of Potent and Brain-Penetrant Tau Tubulin Kinase 1 (TTBK1) Inhibitors that Lower Tau Phosphorylation In Vivo.,Halkina 2021 J Med Chem 64:6358 - brain-penetrant azaindazole TTBK1 inhibitors lowering tau pSer422 in vivo; project's reference TTBK1 chemical series,True
