name,input_smiles,chosen_protonated_smiles,chosen_net_charge,n_ph74_variants_enumerated,charge_range_enumerated,pdb_path,selection_rationale
Kaempferol_7_O_glucoside,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,0,8,"[-3, -2, -1, 0]",ligands/pdb3d/Kaempferol_7_O_glucoside.pdb,dominant phenolate/neutral microspecies per dimorphite-dl pH-7.4 enumeration
Kaempferol_3_O_glucoside,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,8,"[-3, -2, -1, 0]",ligands/pdb3d/Kaempferol_3_O_glucoside.pdb,dominant phenolate/neutral microspecies per dimorphite-dl pH-7.4 enumeration
Isoquercitrin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,O=c1c(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)c(-c2ccc([O-])c(O)c2)oc2cc(O)cc(O)c12,-1,8,"[-4, -3, -2, -1]",ligands/pdb3d/Isoquercitrin.pdb,dominant phenolate/neutral microspecies per dimorphite-dl pH-7.4 enumeration
Evolvoside_C,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC=C(C=C3)C4=C(C(=O)C5=C(C=C(C=C5O4)O)O)O)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3ccc(-c4oc5cc(O)cc(O)c5c(=O)c4O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0,8,"[-3, -2, -1, 0]",ligands/pdb3d/Evolvoside_C.pdb,dominant phenolate/neutral microspecies per dimorphite-dl pH-7.4 enumeration
Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,O=c1c([O-])c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-1,8,"[-4, -3, -2, -1]",ligands/pdb3d/Kaempferol.pdb,dominant phenolate/neutral microspecies per dimorphite-dl pH-7.4 enumeration
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,O=c1c([O-])c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-1,8,"[-4, -3, -2, -1]",ligands/pdb3d/Quercetin.pdb,dominant phenolate/neutral microspecies per dimorphite-dl pH-7.4 enumeration
Safinamide,C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F,C[C@H]([NH2+]Cc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,1,2,"[0, 1]",ligands/pdb3d/Safinamide.pdb,cationic amine (pKaH 9.2 > 7.4)
Selegiline,C[C@H](CC1=CC=CC=C1)N(C)CC#C,C#CC[NH+](C)[C@H](C)Cc1ccccc1,1,2,"[0, 1]",ligands/pdb3d/Selegiline.pdb,cationic amine (pKaH 7.5 > 7.4)
Rasagiline,C#CCN[C@@H]1CCC2=CC=CC=C12,C#CC[NH2+][C@@H]1CCc2ccccc21,1,2,"[0, 1]",ligands/pdb3d/Rasagiline.pdb,cationic amine (pKaH 7.7 > 7.4)
Halkina,CC[C@@](C)(C#CC1=CC2=C(C=CN2C3=CC(=NC(=N3)N)OC)C=N1)O,CC[C@](C)(O)C#Cc1cc2c(ccn2-c2cc(OC)nc(N)n2)cn1,0,1,[0],ligands/pdb3d/Halkina.pdb,neutral aminopyrimidine (low basicity)
