ligand,2V5Z,4NFM,2Z5X,6U0K,7Q8Y,MAOB_vs_MAOA_delta,TTBK1_vs_TTBK2avg_delta
Evolvoside_C,-7.005,-8.227,-4.935,-8.554,-9.903,-2.0700000000000003,1.0015
Halkina,-6.707,-7.511,-9.218,-8.892,-9.137,2.511,1.5034999999999998
Isoquercitrin,-6.42,-7.452,-6.198,-7.41,-8.525,-0.22199999999999953,0.5155000000000003
Kaempferol,-9.318,-7.141,-9.795,-8.482,-9.443,0.4770000000000003,1.8214999999999986
Kaempferol_3_O_glucoside,-6.414,-7.597,-5.654,-7.396,-8.083,-0.7599999999999998,0.14249999999999918
Kaempferol_7_O_glucoside,-7.751,-7.867,-9.587,-8.38,-8.941,1.8359999999999994,0.7935000000000008
Quercetin,-9.318,-7.655,-9.937,-8.882,-9.872,0.6189999999999998,1.7219999999999986
Rasagiline,-8.387,-5.919,-8.225,-6.876,-6.65,-0.1620000000000008,0.8440000000000003
Safinamide,-10.046,-6.518,-9.825,-8.351,-8.453,-0.22100000000000009,1.8840000000000012
Selegiline,-7.755,-5.494,-7.583,-6.615,-6.551,-0.1719999999999997,1.0890000000000004
