smiles,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups,Score,TTBK1_dock (raw),MAOB_dock (raw),SA_score (raw)
O=c1c(O)c(-c2ccc(-c3cc(C(F)(F)F)ccc3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,500.32,6.421,90.9,3,5,2,0.087,4,4,2,False,False,False,0,,True,,,FC(F)(*)F|FC(F)(c1cc(*)c(F)cc1)F,0.9480477,9.464,12.187,2.8139
O=c1c(O)c(-c2ccc(-c3ccc(F)cc3)c(-c3cccc(F)c3)c2)oc2cc(O)cc(O)c12,458.42,6.189,90.9,3,5,3,0.0,5,5,1,True,False,False,0,,True,,,c1cc(F)ccc1*|Fc1cccc(*)c1,0.9336122,9.214,11.783,2.5075
O=c1c(O)c(-c2ccc(-c3cc(F)cc(F)c3)c(-c3cc(F)co3)c2)oc2cc(O)cc(O)c12,466.37,5.921,104.04,3,6,3,0.0,5,5,1,True,False,False,0,,True,,,*c1occ(F)c1|Fc1cc(F)cc(*)c1,0.9225274,9.341,10.371,3.0737
O=c1c(O)c(-c2ccc(-c3cc(F)cc(F)c3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,468.31,5.68,90.9,3,5,2,0.045,4,4,1,True,True,False,1,halogenated_ring_1,False,,,Fc1c(F)cc(F)cc1*|FC(*)(F)F,0.9206601,9.201,10.539,2.8443
O=c1c(O)c(-c2ccc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)c2)oc2cc(O)cc(O)c12,458.42,6.189,90.9,3,5,3,0.0,5,5,1,True,False,False,0,,True,,,c1c(*)ccc(F)c1|c1cc(*)ccc1F,0.9180306,9.15,10.36,2.4649
O=c1c(O)c(-c2ccc(-c3cc(F)cc(F)c3)c(C(F)F)c2)oc2cc(O)cc(O)c12,432.33,5.46,90.9,3,5,3,0.045,4,4,1,True,True,False,0,,True,,,C(F)(F)*|Fc1cc(*)cc(F)c1,0.9119057,9.012,11.821,2.8301
O=c1c(O)c(-c2ccc(Nc3ccc(F)c(F)c3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,483.32,5.757,102.93,4,6,3,0.045,4,4,1,True,False,False,1,halogenated_ring_2,False,,,Fc1c(F)c(F)ccc1N*|FC(*)(F)F,0.8993129,8.969,10.511,2.8354
O=c1c(O)c(-c2ccc(-c3c(F)ccc(F)c3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,468.31,5.68,90.9,3,5,2,0.045,4,4,1,True,True,False,1,halogenated_ring_1,False,,,c1(F)c(F)ccc(F)c1*|FC(F)(*)F,0.8990619,8.904,11.417,2.8496
O=c1c(O)c(-c2ccc(-c3cc(F)ccc3F)c(C(F)(F)F)c2)oc2cc(O)cc(O)c12,450.32,5.541,90.9,3,5,2,0.045,4,4,1,True,True,False,0,,True,,,Fc1ccc(F)cc1*|FC(F)(*)F,0.8951548,8.868,11.015,2.7028
O=c1c(O)c(-c2ccc(-c3ccc(F)cc3)c(-c3ccccc3)c2)oc2cc(O)cc(O)c12,440.43,6.05,90.9,3,5,3,0.0,5,5,1,True,True,False,0,,True,,,c1ccc(*)cc1|c1c(F)ccc(*)c1,0.8943346,8.923,10.238,2.4035
