smiles,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups,canon,Score,TTBK1_dock (raw),MAOB_dock (raw),SA_score (raw),BBB_signed_dist (raw),TTBK1_consensus_best,TTBK1_consensus_mean,TTBK1_consensus_std,MAOB_consensus_best,MAOB_consensus_mean,MAOB_consensus_std,TTBK1_z,MAOB_z,dual_target_z
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,C(c1ccccc1)*|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,0.7308297,8.148,11.557,2.2718,0.0096,-8.151,-8.148333333333333,0.003771236166327838,-11.491,-11.168333333333331,0.4436525166789382,-2.139217468007468,-1.6396927069005238,-3.778910174907992
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7246167,7.95,11.409,2.4977,0.5794,-7.951,-7.949999999999999,0.0009999999999998899,-11.416,-11.3825,0.033500000000000085,-1.4486699800640837,-1.4762914501031494,-2.924961430167233
O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,354.26,4.36,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,*CF|FC(F)(*)F,O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,0.692266,7.83,11.095,2.7075,0.4189,-7.885,-7.835333333333334,0.03551838334659308,-11.234,-11.093333333333334,0.09951995891388947,-1.2207893090427675,-1.0797710669415164,-2.3005603759842836
CN1CCN(c2ccc(-c3oc4cccc(O)c4c(=O)c3O)cc2C(F)(F)F)CC1,420.39,3.642,77.15,2,6,2,0.286,4,3,0,True,True,True,0,,True,,O=c1cc(-c2ccc(N3CCNCC3)cc2)oc2ccccc12,C1CN(*)CCN1C|FC(F)(F)*,CN1CCN(c2ccc(-c3oc4cccc(O)c4c(=O)c3O)cc2C(F)(F)F)CC1,0.643953,8.008,8.659,2.5938,0.2716,-7.882,-7.858999999999999,0.017682382946499504,-11.238,-10.086333333333334,1.213880371188016,-1.2104310967236165,-1.0884858006373754,-2.298916897360992
CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,350.29,4.452,70.67,2,4,2,0.167,3,3,0,True,True,True,0,,True,,,C(F)(F)(*)F|*CC,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7175007,7.989,10.827,2.5421,0.3264,-7.975,-7.9639999999999995,0.010424330514074353,-11.007,-10.87,0.10317945531936105,-1.5315356786172898,-0.585209929701458,-2.1167456083187477
C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,348.28,4.533,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)(F)F|C(=C)*,C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7068611,7.954,10.997,2.7146,0.2461,-7.951,-7.931666666666666,0.01369509238944917,-10.988,-10.945,0.04300000000000015,-1.4486699800640837,-0.5438149446461226,-1.9924849247102063
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,c1c(C*)cccc1|C*,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,0.7495772,8.316,10.326,2.2646,0.0096,-8.34,-8.323,0.012355835328567098,-10.315,-10.296999999999999,0.01430617582258335,-2.791784844113965,0.9224389996823306,-1.8693458444316347
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)(C)C,324.38,4.477,70.67,2,4,1,0.25,3,3,0,True,True,True,0,,True,,,CC(C)(*)C|*C,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)(C)C,0.5765501,7.285,11.759,2.4809,0.3018,-7.383,-7.361000000000001,0.021999999999999797,-11.713,-11.705666666666668,0.008339997335464054,0.5124848856951243,-2.1233604270207556,-1.6108755413256313
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,351.4,4.17,73.91,2,5,2,0.286,4,3,0,True,True,True,0,,True,,O=c1cc(-c2cccc(N3CCCCC3)c2)oc2ccccc12,C1N(*)CCCC1|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,0.7030047,7.928,10.708,2.3732,0.2658,-8.035,-8.019333333333334,0.020072092289766332,-10.677,-10.661,0.014445299120013706,-1.7386999250003066,0.13375560020699603,-1.6049443247933106
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCC1,337.38,3.78,73.91,2,5,2,0.25,4,3,0,True,True,True,0,,True,,,C1CCCN1*|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCC1,0.6340421,7.497,11.008,2.368,0.6525,-7.848,-7.704666666666667,0.13871874022239686,-10.97,-10.965,0.004999999999999893,-1.093038023773242,-0.5045986430147548,-1.5976366667879969
O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,354.26,4.746,70.67,2,4,3,0.118,3,3,0,True,True,True,0,,True,,,*C(F)F|C(*)(F)F,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,0.6660987,7.802,11.054,2.818,0.0335,-7.793,-7.761666666666667,0.03879289740260322,-11.055,-10.982666666666667,0.09808273151896943,-0.9031374645888124,-0.6897867340517787,-1.592924198640591
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N1CCCCC1,351.4,4.17,73.91,2,5,2,0.286,4,3,0,True,True,True,0,,True,,,C1CCCCN1*|*C,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N1CCCCC1,0.6267322,7.533,11.197,2.3659,0.2658,-7.539,-7.52,0.01373559851869094,-11.349,-11.234,0.13081539155109634,-0.026142154900713775,-1.3303196606974932,-1.3564618155982069
C=C(F)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,312.3,4.12,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)=C|C*,C=C(F)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,0.6414281,7.535,11.108,2.6937,0.6577,-7.541,-7.538,0.0030000000000001137,-11.262,-11.190333333333333,0.06481940724470997,-0.03304762978014992,-1.1407742028125378,-1.1738218325926877
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,C(F)(*)(F)F|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.6473059,7.574,10.952,2.4564,0.5794,-7.714,-7.628,0.061253571324454456,-10.97,-10.906,0.051075108092559794,-0.6303712068511769,-0.5045986430147548,-1.1349698498659317
CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N1CCCCC1,365.43,4.424,73.91,2,5,3,0.318,4,3,0,True,True,True,0,,True,,,C1N(*)CCCC1|C(*)C,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N1CCCCC1,0.6133632,7.547,10.511,2.4579,0.014,-7.777,-7.500333333333334,0.2009051738728719,-10.821,-10.7515,0.06949999999999967,-0.8478936655533417,-0.17997481284396596,-1.0278684783973076
CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)(C)C,338.4,4.731,70.67,2,4,2,0.286,3,3,0,True,True,True,0,,True,,,*C(C)(C)C|CC*,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)(C)C,0.5910039,7.416,11.083,2.5486,0.0488,-7.489,-7.4555,0.033500000000000085,-11.222,-11.127666666666668,0.0897267456720062,0.1464947170851315,-1.0536268658539354,-0.9071321487688039
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)C,310.35,4.303,70.67,2,4,2,0.211,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C(C)C|*C,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)C,0.615976,7.437,11.486,2.3762,0.4752,-7.383,-7.365333333333333,0.012552113589175106,-11.373,-11.353,0.019999999999999574,0.5124848856951243,-1.3826080628726516,-0.8701231771775273
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,318.27,4.117,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,C(*)(F)F|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,0.6390056,7.522,11.023,2.5834,0.6603,-7.562,-7.535666666666667,0.020853989759489475,-11.034,-10.9805,0.05350000000000055,-0.10555511601420486,-0.6440343821485156,-0.7495894981627205
CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,350.29,4.452,70.67,2,4,2,0.167,3,3,0,True,True,True,0,,True,,,CC*|C(F)(F)(*)F,CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.5492761,7.623,8.335,2.5288,0.3264,-7.664,-7.649,0.021213203435596392,-10.829,-10.730333333333334,0.06977264666201405,-0.4577343348653285,-0.197404280235688,-0.6551386151010166
C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,330.29,4.452,70.67,2,4,3,0.056,3,3,0,True,True,True,0,,True,,,C(=C)*|FC(F)*,C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,0.6316381,7.568,10.635,2.8388,0.327,-7.617,-7.6000000000000005,0.012192894105447744,-10.902,-10.725333333333333,0.1249248663086024,-0.29545567519863436,-0.35644817018513086,-0.6519038453837652
CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,365.43,4.424,73.91,2,5,3,0.318,4,3,0,True,True,True,0,,True,,,C1CN(*)CCC1|CC*,CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,0.6319336,7.664,10.081,2.4575,0.014,-7.938,-7.854333333333333,0.09722939656068809,-10.295,-10.218499999999999,0.07650000000000023,-1.403784393347764,0.9660126681616299,-0.43777172518613416
