smiles,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups,canon,Score,TTBK1_dock (raw),MAOB_dock (raw),SA_score (raw),BBB_signed_dist (raw),TTBK1_consensus_best,TTBK1_consensus_mean,TTBK1_consensus_std,MAOB_consensus_best,MAOB_consensus_mean,MAOB_consensus_std,TTBK1_z,MAOB_z,dual_target_z,TTBK1_vinardo_best,MAOB_vinardo_best,TTBK1_vina_z,MAOB_vina_z,TTBK1_vinardo_z,MAOB_vinardo_z,final_dual_target_score,MAOA_consensus_best,TTBK2_6U0K_consensus_best,TTBK2_7Q8Y_consensus_best,MAOB_vs_MAOA_delta,TTBK1_vs_TTBK2_6U0K_delta,TTBK1_vs_TTBK2_7Q8Y_delta
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,c1c(C*)cccc1|C*,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,0.7495772,8.316,10.326,2.2646,0.0096,-8.34,-8.323,0.012355835328567,-10.315,-10.297,0.0143061758225833,-2.791784844113965,0.9224389996823306,-1.8693458444316349,-6.914,-9.507,-1.9956737766367063,2.26472051620633,-1.5106158050535492,-1.7372653405166705,-1.489417203000298,-12.824,-9.806,-10.259,2.5090000000000003,1.4659999999999993,1.9190000000000005
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7246167,7.95,11.409,2.4977,0.5794,-7.951,-7.949999999999999,0.0009999999999998,-11.416,-11.3825,0.0335,-1.4486699800640837,-1.4762914501031494,-2.924961430167233,-6.374,-8.73,-0.4081132467559714,-0.9100404824480732,-0.4408494104973542,-0.6385119465660654,-1.198757543133732,-11.509,-9.661,-10.179,0.09299999999999997,1.71,2.2280000000000006
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,C(c1ccccc1)*|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,0.7308297,8.148,11.557,2.2718,0.0096,-8.151,-8.148333333333333,0.0037712361663278,-11.491,-11.168333333333331,0.4436525166789382,-2.139217468007468,-1.6396927069005238,-3.778910174907992,-6.935,-6.458,-1.2243397402679177,-1.126304855653412,-1.552217831508512,2.574316510391177,-0.6642729585193323,-11.501,-9.9,-10.654,0.009999999999999787,1.7490000000000006,2.503
C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,348.28,4.533,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)(F)F|C(=C)*,C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7068611,7.954,10.997,2.7146,0.2461,-7.951,-7.931666666666666,0.0136950923894491,-10.988,-10.945,0.0430000000000001,-1.4486699800640837,-0.5438149446461226,-1.9924849247102063,-6.511,-8.416,-0.4081132467559714,0.3241082073104066,-0.7122531068940194,-0.1944854784830661,-0.4953718124113251,-11.583,-9.679,-10.21,0.5950000000000006,1.7280000000000006,2.2590000000000012
CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,350.29,4.452,70.67,2,4,2,0.167,3,3,0,True,True,True,0,,True,,,C(F)(F)(*)F|*CC,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7175007,7.989,10.827,2.5421,0.3264,-7.975,-7.963999999999999,0.0104243305140743,-11.007,-10.87,0.103179455319361,-1.5315356786172898,-0.585209929701458,-2.116745608318748,-6.501,-8.291,-0.506060425977405,0.2693212327650532,-0.6924426181059421,-0.0177233494691333,-0.4734525803937136,-11.62,-9.715,-10.192,0.6129999999999995,1.7400000000000002,2.2170000000000005
O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,354.26,4.36,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,*CF|FC(F)(*)F,O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,0.692266,7.83,11.095,2.7075,0.4189,-7.885,-7.835333333333334,0.035518383346593,-11.234,-11.093333333333334,0.0995199589138894,-1.2207893090427675,-1.0797710669415164,-2.300560375984284,-6.173,-8.371,-0.1387585038970299,-0.385238936803112,-0.0426585858569936,-0.1308511120380504,-0.348753569297593,-11.31,-9.444,-9.983,0.07600000000000051,1.559000000000001,2.0980000000000008
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)(C)C,324.38,4.477,70.67,2,4,1,0.25,3,3,0,True,True,True,0,,True,,,CC(C)(*)C|*C,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(C)(C)C,0.5765501,7.285,11.759,2.4809,0.3018,-7.383,-7.361000000000001,0.0219999999999997,-11.713,-11.705666666666668,0.008339997335464,0.5124848856951243,-2.123360427020756,-1.6108755413256313,-6.054,-8.863,1.9099699948179527,-1.766447400341219,0.1930862307211303,-0.8265868518368886,-0.2449890133195122,-10.716,-9.775,-10.098,-0.9969999999999999,2.3920000000000003,2.7150000000000007
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,C(F)(*)(F)F|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.6473059,7.574,10.952,2.4564,0.5794,-7.714,-7.628,0.0612535713244544,-10.97,-10.906,0.0510751080925597,-0.6303712068511769,-0.5045986430147548,-1.1349698498659315,-6.292,-8.816,0.559115148055681,0.3760116568796852,-0.2784034024351176,-0.7601242913276516,-0.0517004444137014,-11.419,-9.694,-10.389,0.44899999999999984,1.9800000000000004,2.674999999999999
C=C(F)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,312.3,4.12,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)=C|C*,C=C(F)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,0.6414281,7.535,11.108,2.6937,0.6577,-7.541,-7.538,0.0030000000000001,-11.262,-11.190333333333331,0.0648194072447099,-0.0330476297801499,-1.1407742028125378,-1.1738218325926877,-6.212,-8.74,1.265151064943514,-0.4659776361331073,-0.119919492130496,-0.6526529168871796,0.0133005098963655,-11.448,-9.467,-9.964,0.18599999999999994,1.9260000000000002,2.423
O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,354.26,4.746,70.67,2,4,3,0.118,3,3,0,True,True,True,0,,True,,,*C(F)F|C(*)(F)F,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,0.6660987,7.802,11.054,2.818,0.0335,-7.793,-7.761666666666667,0.0387928974026032,-11.055,-10.982666666666669,0.0980827315189694,-0.9031374645888124,-0.6897867340517787,-1.592924198640591,-6.245,-8.344,0.2367056831184635,0.1309120339136351,-0.185294105131153,-0.0926704921710395,0.044826559864953,-11.72,-9.692,-10.086,0.6650000000000009,1.899,2.293
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCC1,337.38,3.78,73.91,2,5,2,0.25,4,3,0,True,True,True,0,,True,,,C1CCCN1*|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCC1,0.6340421,7.497,11.008,2.368,0.6525,-7.848,-7.704666666666667,0.1387187402223968,-10.97,-10.965,0.0049999999999998,-1.093038023773242,-0.5045986430147548,-1.5976366667879969,-6.064,-8.178,0.0122433974026796,0.3760116568796852,0.173275741933053,0.1420696151594611,0.3518002056874395,-11.433,-9.807,-9.816,0.4629999999999992,1.9590000000000005,1.9680000000000009
