Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,TTBK1_dock,TTBK1_dock (raw),MAOB_dock,MAOB_dock (raw),SA_score,SA_score (raw),step
20.9134,25.5128,79.6833,0.8218445,CC(C)=C(c1cccc(O)c1)c1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1N,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,*C(=C(C)C)c1cccc(O)c1|*N,0.6427131,8.4080,0.9749753,10.5450,0.9548317,2.9399,1
8.3690,16.5494,65.9453,0.6444899,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1-c1ccccc1O,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,*N|c1(O)c(*)cccc1,0.3412620,7.5430,0.9856704,10.9400,0.9827460,2.5956,1
5.7965,8.9213,69.6897,0.6141484,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1N,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,N*|N*,0.3377122,7.5320,0.8838241,9.4100,0.9807119,2.6350,1
9.9250,25.6781,55.3033,0.6326674,O=c1c(O)c(-c2ccc(-c3ccccc3O)c(-c3ccc(O)cc3)c2)oc2cc(O)cc(O)c12,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,Oc1ccccc1*|c1cc(O)ccc1*,0.8236526,9.0710,0.3899399,7.6890,0.9826383,2.5978,1
14.1396,26.9842,-25.8927,0.0085277,Cc1cc(O)ccc1Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1-c1ccccc1,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,c1(O)ccc(N*)c(C)c1|c1(*)ccccc1,0.6778750,8.5170,0.0000100,0.0000,0.9814759,2.6207,1
16.5482,26.5344,67.5298,0.7348768,CC(=O)c1ccccc1Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1N,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,*Nc1ccccc1C(C)=O|N*,0.4716080,7.9210,0.9907008,11.2440,0.9818050,2.6143,1
6.9785,14.6902,77.0410,0.7166502,Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1-c1ccc(O)cc1,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,*N|c1cc(*)ccc1O,0.4430435,7.8410,0.9888410,11.1160,0.9848968,2.5485,1
13.7322,26.9512,55.4791,0.6439871,O=CCNc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1-c1ccc(O)cc1,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,N(*)CC=O|c1cc(*)ccc1O,0.3739746,7.6420,0.9035952,9.5550,0.9699602,2.7928,1
8.1108,15.5353,89.2258,0.8184461,Nc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1-c1ccc(O)c(O)c1,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,c1c(O)c(O)ccc1*|*N,0.6192631,8.3380,0.9897400,11.1750,0.9775926,2.6882,1
8.7087,22.4437,51.7740,0.5798257,C=CCc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1-c1ccc(O)cc1,1,c1c(O)c2c(oc(-c3ccc([*])c([*])c3)c(O)c2=O)cc1O,*CC=C|c1(O)ccc(*)cc1,0.3625916,7.6080,0.7149596,8.6390,0.9751893,2.7244,1
