smiles,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups
CC1=C2CC(c3ccc(-c4oc5cc(O)cc(O)c5c(=O)c4O)cc3C)C(C3C(=O)c4cc(O)cc(O)c4C3=O)C(C)C2=CCC1,620.65,6.768,165.5,5,9,3,0.27,7,4,2,False,False,False,2,beta-keto/anhydride;keto_keto_beta_A(68),False,,O=C1c2ccccc2C(=O)C1C1CC2=CCCC=C2CC1c1ccc(-c2cc(=O)c3ccccc3o2)cc1,C1C2=C(C)CCC=C2C(C)C(C2C(=O)c3c(c(O)cc(O)c3)C2=O)C1*|C*
C=CC(C)=CCNc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1C,379.41,4.429,102.93,4,6,5,0.136,3,3,0,True,True,False,1,polyene,False,,O=c1cc(-c2ccccc2)oc2ccccc12,N(CC=C(C=C)C)*|C*
Cc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1N,299.28,2.467,116.92,4,6,1,0.062,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*C|N*
Cc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1N,299.28,2.467,116.92,4,6,1,0.062,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*N|*C
CCNc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1C,327.34,3.317,102.93,4,6,3,0.167,3,3,0,True,True,False,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C|CCN*
Nc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1N,300.27,1.741,142.94,5,7,1,0.0,3,3,0,True,False,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*N|*N
Cc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1C,298.29,3.194,90.9,3,5,1,0.118,3,3,0,True,True,False,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C|C*
Cc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1C1=C(C(=O)O)C(O)C(O)C(O)C1,456.4,1.21,188.89,7,9,3,0.217,4,3,1,True,False,False,0,,True,,O=c1cc(-c2ccc(C3=CCCCC3)cc2)oc2ccccc12,C1C(O)C(O)C(O)C(C(O)=O)=C1*|*C
CC1=CCCC(Cc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc2C)=C1C,404.46,5.484,90.9,3,5,3,0.24,4,3,1,True,True,False,0,,True,,O=c1cc(-c2ccc(CC3=CC=CCC3)cc2)oc2ccccc12,C1CC=C(C)C(C)=C1C*|C*
CC(C)=CCCC(C)=CCc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1C,420.51,6.12,90.9,3,5,6,0.269,3,3,1,True,False,False,1,isolated_alkene,False,,O=c1cc(-c2ccccc2)oc2ccccc12,C(C)(C)=CCCC(=CC*)C|C*
CC1=NC(C)C(C=Cc2cc(C)c(-c3ccc(-c4oc5cc(O)cc(O)c5c(=O)c4O)cc3C)c(O)c2)=NN1,525.56,5.346,147.88,5,9,4,0.167,5,4,2,False,False,False,0,,True,,O=c1cc(-c2ccc(-c3ccc(C=CC4=NNC=NC4)cc3)cc2)oc2ccccc12,C1(C)=NC(C)C(C=Cc2cc(C)c(*)c(O)c2)=NN1|*C
CC(C)c1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1N,327.34,3.282,116.92,4,6,2,0.167,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*N|C(C)(*)C
CC(C)=CCc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1Nc1ccc(C2=NC(=O)c3cc(O)c(O)cc32)cc1,590.59,6.232,172.82,6,9,6,0.088,6,5,3,False,False,False,3,catechol;catechol_A(92);isolated_alkene,False,,O=C1N=C(c2ccc(Nc3cccc(-c4cc(=O)c5ccccc5o4)c3)cc2)c2ccccc21,C(*)C=C(C)C|N1=C(c2ccc(N*)cc2)c2c(cc(O)c(O)c2)C1=O
COc1cc(Cc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3O)ccc2N)ccc1N,420.42,3.341,152.17,5,8,4,0.087,4,4,0,True,False,False,1,aniline,False,,O=c1cc(-c2cccc(Cc3ccccc3)c2)oc2ccccc12,N*|O(C)c1cc(C*)ccc1N
