Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,TTBK1_dock,TTBK1_dock (raw),MAOB_dock,MAOB_dock (raw),SA_score,SA_score (raw),BBB_signed_dist,BBB_signed_dist (raw),step
12.1711,19.9632,-18.2529,0.0133614,CN1CCC(c2ccc(-c3oc4cccc(O)c4c(=O)c3O)cc2Cc2ccccc2)CC1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,CN1CCC(*)CC1|c1ccc(C*)cc1,0.7695868,8.8380,0.0000100,0.0000,0.9839244,2.5706,0.2784768,-0.8269,1
8.5173,19.0718,44.5597,0.4971215,O=c1c(O)c(-c2ccc(N3CCCCC3)c(C3CCCCC3)c2)oc2cccc(O)c12,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C1N(*)CCCC1|*C1CCCCC1,0.6216354,8.3450,0.4863318,7.9620,0.9842995,2.5622,0.1568665,-1.4607,1
10.3969,15.6230,46.6180,0.4862581,O=c1c(O)c(-c2ccc(C=Cc3ccccc3)c(C(F)(F)F)c2)oc2cccc(O)c12,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,c1(C=C*)ccccc1|FC(*)(F)F,0.3106098,7.4460,0.8475388,9.1920,0.9830801,2.5886,0.1872043,-1.2753,1
12.0153,22.7125,53.0156,0.5916253,CC1CCC(c2cc(-c3oc4cccc(O)c4c(=O)c3O)ccc2C(C)C)CC1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,*C(C)C|C1C(C)CCC(*)C1,0.6189235,8.3370,0.8187934,9.0480,0.9798546,2.6504,0.1506343,-1.5023,1
15.9971,19.7926,3.9976,0.1858611,CC1CCN(c2ccc(-c3oc4cccc(O)c4c(=O)c3O)cc2NC(C)C)CC1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C1N(*)CCC(C)C1|C(N*)(C)C,0.2888684,7.3740,0.9387740,9.8970,0.9810482,2.6288,0.0002875,-7.0825,1
17.8566,28.8315,26.6675,0.4335856,CC(C)C(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C1CCCCC1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,CC(C)C(C)*|*C1CCCCC1,0.5505554,8.1410,0.4612220,7.8920,0.9153990,3.1726,0.1018349,-1.8909,1
8.2414,14.4307,66.0662,0.6288816,CC(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1-c1ccccc1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C(C)(C)*|c1c(*)cccc1,0.5003600,8.0010,0.9391863,9.9020,0.9912851,2.3553,0.2667968,-0.8781,1
7.3283,13.8781,55.9148,0.5452566,C=CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)C,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C(C=C)*|CC(*)C,0.2431545,7.2110,0.9740460,10.5190,0.9787458,2.6694,0.5163280,0.0567,1
8.1435,8.1664,78.8222,0.6795982,O=c1c(O)c(-c2ccc(C(F)(F)F)c(C(F)(F)F)c2)oc2cccc(O)c12,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C(*)(F)(F)F|FC(F)(F)*,0.5679351,8.1900,0.8192200,9.0500,0.9802079,2.6441,0.4631605,-0.1282,1
8.4895,12.2113,49.1841,0.4796513,C=CCc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1CC=C,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C(=C)C*|C(=C)C*,0.1594697,6.8450,0.9508135,10.0580,0.9711497,2.7783,0.6267282,0.4501,1
10.7098,16.2702,54.3242,0.5515186,CC(C)c1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N1CCCC1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C1N(*)CCC1|C(*)(C)C,0.2708900,7.3120,0.9500679,10.0470,0.9864368,2.5106,0.4553939,-0.1554,1
13.9086,16.5422,63.5856,0.6259989,C=CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1-c1ccc(C)cc1,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,c1(*)ccc(C)cc1|C(*)C=C,0.4515820,7.8650,0.9983047,12.4320,0.9858742,2.5250,0.2866397,-0.7919,1
16.5235,22.5903,-4.5980,0.1405650,O=c1c(O)c(-c2ccc(N3CCCCC3)c(Nc3ccc(C(F)(F)F)cc3)c2)oc2cccc(O)c12,1,[*]c1c([*])cc(-c2c(O)c(=O)c3c(O)cccc3o2)cc1,C1N(*)CCCC1|FC(F)(F)c1ccc(N*)cc1,0.6456817,8.4170,0.2560912,7.2590,0.9816265,2.6178,0.0001416,-7.6980,1
