smiles,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1N,283.28,2.762,96.69,3,5,1,0.062,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,C*|*N
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,282.3,3.488,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C|*C
Nc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,337.25,3.472,96.69,3,5,1,0.062,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*N|C(F)(*)(F)F
C=CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C,308.33,3.908,70.67,2,4,3,0.105,3,3,0,True,True,True,1,isolated_alkene,False,,O=c1cc(-c2ccccc2)oc2ccccc12,C=CC*|C*
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,351.4,4.17,73.91,2,5,2,0.286,4,3,0,True,True,True,0,,True,,O=c1cc(-c2cccc(N3CCCCC3)c2)oc2ccccc12,C1N(*)CCCC1|*C
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N,283.28,2.762,96.69,3,5,1,0.062,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*N|C*
CC(C)(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)(C)C,366.46,5.466,70.67,2,4,1,0.348,3,3,1,True,True,False,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,C(C)(C)(C)*|CC(*)(C)C
Nc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N,284.27,2.036,122.71,4,6,1,0.0,3,3,0,True,True,False,1,aniline,False,,O=c1cc(-c2ccccc2)oc2ccccc12,*N|N*
O=c1c(O)c(-c2ccc(C(F)(F)F)c(C(F)(F)F)c2)oc2cccc(O)c12,390.24,4.909,70.67,2,4,1,0.118,3,3,0,True,True,False,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C(F)(F)F|FC(F)(*)F
CC1=C(C)C(=O)CC(c2cc(-c3oc4cccc(O)c4c(=O)c3O)ccc2NC=C2[SH]=C(C(=O)O)NC2=O)C1,548.57,3.717,166.17,6,8,5,0.179,5,3,2,False,False,False,3,Michael_acceptor_1;Thiocarbonyl_group;thiol_2,False,,O=C1C=CCC(c2cc(-c3cc(=O)c4ccccc4o3)ccc2NC=C2[SH]=CNC2=O)C1,C1(*)CC(C)=C(C)C(=O)C1|N(*)C=C1S=C(C(=O)O)NC1=O
