smiles,MW,WLogP,TPSA,HBD,HBA,RotB,Fsp3,Rings,AromRings,Lipinski_violations,Lipinski_pass,GIA_pass,BBB_pass,n_structural_alerts,structural_alerts,alert_free,NLL,Scaffold,R-groups,canon,Score,TTBK1_dock (raw),MAOB_dock (raw),SA_score (raw),BBB_signed_dist (raw),murcko
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,c1c(C*)cccc1|C*,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1Cc1ccccc1,0.7495772,8.316,10.326,2.2646,0.0096,O=c1cc(-c2cccc(Cc3ccccc3)c2)oc2ccccc12
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,358.39,4.77,70.67,2,4,3,0.087,4,4,0,True,True,True,0,,True,,,C(c1ccccc1)*|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1Cc1ccccc1,0.7308297,8.148,11.557,2.2718,0.0096,O=c1cc(-c2ccc(Cc3ccccc3)cc2)oc2ccccc12
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7246167,7.95,11.409,2.4977,0.5794,O=c1cc(-c2ccccc2)oc2ccccc12
CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,350.29,4.452,70.67,2,4,2,0.167,3,3,0,True,True,True,0,,True,,,C(F)(F)(*)F|*CC,CCc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7175007,7.989,10.827,2.5421,0.3264,O=c1cc(-c2ccccc2)oc2ccccc12
C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,348.28,4.533,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)(F)F|C(=C)*,C=Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)(F)F,0.7068611,7.954,10.997,2.7146,0.2461,O=c1cc(-c2ccccc2)oc2ccccc12
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,351.4,4.17,73.91,2,5,2,0.286,4,3,0,True,True,True,0,,True,,O=c1cc(-c2cccc(N3CCCCC3)c2)oc2ccccc12,C1N(*)CCCC1|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1N1CCCCC1,0.7030047,7.928,10.708,2.3732,0.2658,O=c1cc(-c2cccc(N3CCCCC3)c2)oc2ccccc12
O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,354.26,4.36,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,*CF|FC(F)(*)F,O=c1c(O)c(-c2ccc(C(F)(F)F)c(CF)c2)oc2cccc(O)c12,0.692266,7.83,11.095,2.7075,0.4189,O=c1cc(-c2ccccc2)oc2ccccc12
O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,354.26,4.746,70.67,2,4,3,0.118,3,3,0,True,True,True,0,,True,,,*C(F)F|C(*)(F)F,O=c1c(O)c(-c2ccc(C(F)F)c(C(F)F)c2)oc2cccc(O)c12,0.6660987,7.802,11.054,2.818,0.0335,O=c1cc(-c2ccccc2)oc2ccccc12
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)C,310.35,4.303,70.67,2,4,2,0.211,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,*C|CC(*)C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(C)C,0.6507313,7.63,10.351,2.3899,0.4752,O=c1cc(-c2ccccc2)oc2ccccc12
O=c1c(O)c(-c2ccc(CF)c(C(F)(F)F)c2)oc2cccc(O)c12,354.26,4.36,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|FC*,O=c1c(O)c(-c2ccc(CF)c(C(F)(F)F)c2)oc2cccc(O)c12,0.6485398,7.629,10.531,2.6987,0.4189,O=c1cc(-c2ccccc2)oc2ccccc12
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,336.26,4.198,70.67,2,4,1,0.118,3,3,0,True,True,True,0,,True,,O=c1cc(-c2ccccc2)oc2ccccc12,C(F)(*)(F)F|*C,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.6473059,7.574,10.952,2.4564,0.5794,O=c1cc(-c2ccccc2)oc2ccccc12
CN(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,365.31,3.956,73.91,2,5,2,0.167,3,3,0,True,True,True,0,,True,,,FC(*)(F)F|N(C)(C)*,CN(C)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)(F)F,0.6468657,7.61,10.458,2.6248,0.4778,O=c1cc(-c2ccccc2)oc2ccccc12
CN1CCN(c2ccc(-c3oc4cccc(O)c4c(=O)c3O)cc2C(F)(F)F)CC1,420.39,3.642,77.15,2,6,2,0.286,4,3,0,True,True,True,0,,True,,O=c1cc(-c2ccc(N3CCNCC3)cc2)oc2ccccc12,C1CN(*)CCN1C|FC(F)(F)*,CN1CCN(c2ccc(-c3oc4cccc(O)c4c(=O)c3O)cc2C(F)(F)F)CC1,0.643953,8.008,8.659,2.5938,0.2716,O=c1cc(-c2ccc(N3CCNCC3)cc2)oc2ccccc12
Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)F,318.27,4.117,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,C*|C(F)(F)*,Cc1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C(F)F,0.6436355,7.549,10.798,2.5932,0.6603,O=c1cc(-c2ccccc2)oc2ccccc12
C=C(F)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,312.3,4.12,70.67,2,4,2,0.056,3,3,0,True,True,True,0,,True,,,C(*)(F)=C|C*,C=C(F)c1ccc(-c2oc3cccc(O)c3c(=O)c2O)cc1C,0.6414281,7.535,11.108,2.6937,0.6577,O=c1cc(-c2ccccc2)oc2ccccc12
Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,318.27,4.117,70.67,2,4,2,0.118,3,3,0,True,True,True,0,,True,,,C(*)(F)F|C*,Cc1cc(-c2oc3cccc(O)c3c(=O)c2O)ccc1C(F)F,0.6390056,7.522,11.023,2.5834,0.6603,O=c1cc(-c2ccccc2)oc2ccccc12
